group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
0,ABLIM1,8.774391,2.1025891,1.7183128718349368e-18,9.790027083305192e-17,0.2760372565622354,0.07867360208062418
0,ITK,8.755466,2.0535767,2.032618528800026e-18,1.154824223694082e-16,0.2785774767146486,0.0812743823146944
0,FOXP1,8.628536,0.8400766,6.214227927866124e-18,3.481689032382832e-16,0.6435224386113463,0.4681404421326398
0,OCIAD2,8.582579,1.5601802,9.276945493155933e-18,5.12665299302109e-16,0.3259949195596952,0.12743823146944083
0,ANKRD12,8.567596,1.0455756,1.0566714685610963e-17,5.823497853710282e-16,0.4758679085520745,0.2847854356306892
0,RIPOR2,8.565404,0.81272644,1.0769798649618624e-17,5.919292051282236e-16,0.7112616426756986,0.523407022106632
0,GIMAP4,8.1855,0.94286764,2.711745675975595e-16,1.4099683301357939e-14,0.5122777307366638,0.3433029908972692
0,RGS10,8.183997,0.9139783,2.745804331835496e-16,1.4240163696334548e-14,0.4987298899237934,0.3257477243172952
0,ENSG00000294512,8.118771,0.57597166,4.709309712330706e-16,2.4053156121616378e-14,0.7798475867908552,0.6710013003901171
0,SRSF5,8.068673,0.590799,7.106607335520946e-16,3.611513567041373e-14,0.7705334462320068,0.6605981794538361
0,MCUB,8.027373,0.98632973,9.958139711107406e-16,5.0102819352452336e-14,0.45385266723116,0.2893368010403121
0,EPB41,7.988095,1.3105519,1.3704025853592152e-15,6.827035145683617e-14,0.35478408128704486,0.17815344603381014
0,TNFAIP8,7.9548774,1.0034469,1.7930894518735638e-15,8.888977268037918e-14,0.45639288738357325,0.27828348504551365
0,MBNL1,7.8860035,0.73261714,3.1201788240774847e-15,1.5133989663259282e-13,0.6663844199830652,0.5149544863459038
0,MGAT4A,7.8817897,1.7903558,3.2272475882548667e-15,1.5541502314295934e-13,0.26926333615580017,0.09037711313394019
0,FXYD5,7.747467,0.62198615,9.374361738495209e-15,4.4205740441871033e-13,0.781541066892464,0.6560468140442133
0,PABPC1,7.7474422,0.46118286,9.376180485297475e-15,4.4205740441871033e-13,0.8687552921253175,0.8029908972691807
0,CLEC2D,7.7229977,1.2090298,1.1362518175168585e-14,5.332210965451504e-13,0.3539373412362405,0.16905071521456436
0,GYPC,7.47069,1.1023749,7.977539632671033e-14,3.5856381468978734e-12,0.37849280270956814,0.2152145643693108
0,TMC8,7.394645,1.1921803,1.4178625272415463e-13,6.302788456260992e-12,0.35139712108382726,0.1905071521456437
0,TNIK,7.3544793,1.4416971,1.916730997261255e-13,8.464585404062476e-12,0.2904318374259102,0.1222366710013004
0,FOS,7.338388,0.54515713,2.1618174208641656e-13,9.526126177428892e-12,0.8755292125317528,0.8003901170351105
0,CORO7,7.3358994,1.1877099,2.2023781987100467e-13,9.683761184154219e-12,0.3471634208298052,0.19375812743823148
0,PACS1,7.224444,0.98417735,5.031556758804166e-13,2.1698990832318353e-11,0.4140558848433531,0.252925877763329
0,PLAAT4,7.1998267,0.7505019,6.028903316861174e-13,2.583487256076994e-11,0.5537679932260796,0.3810143042912874
0,COMMD6,7.1330724,0.6117784,9.81530361215554e-13,4.161935657430985e-11,0.6392887383573242,0.5312093628088427
0,SNRPD2,7.1221805,0.6592841,1.0623279754166153e-12,4.495114148698004e-11,0.6206604572396275,0.49024707412223667
0,COX7C,7.1195683,0.53847,1.082654904988347e-12,4.571561191710711e-11,0.7502116850127011,0.6423927178153446
